Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
146.88999938964844,146.88999938964844,141.3000030517578,141.5,141.5,1591000,-3.794,2020-02-13,06,2020,13,Thursday,-1.7998,2.139541235872775
142.72000122070312,144.4600067138672,140.85000610351562,141.0,141.0,1288100,-0.353,2020-02-14,06,2020,14,Friday,-1.7998,2.139541235872775
141.5,145.1300048828125,140.89999389648438,144.6300048828125,144.6300048828125,1480200,2.574,2020-02-18,07,2020,18,Tuesday,1.0549999999999997,2.0956944751879583
145.57000732421875,146.33999633789062,143.0,143.36000061035156,143.36000061035156,1051800,-0.878,2020-02-19,07,2020,19,Wednesday,1.0549999999999997,2.0956944751879583
143.35000610351562,148.17999267578125,142.17999267578125,147.86000061035156,147.86000061035156,1442600,3.139,2020-02-20,07,2020,20,Thursday,1.0549999999999997,2.0956944751879583
146.75999450683594,147.10000610351562,143.05999755859375,146.9499969482422,146.9499969482422,1170700,-0.615,2020-02-21,07,2020,21,Friday,1.0549999999999997,2.0956944751879583
140.47999572753906,146.6999969482422,139.13099670410156,145.3300018310547,145.3300018310547,1382100,-1.102,2020-02-24,08,2020,24,Monday,-1.3544,2.273866376900806
146.8300018310547,147.9499969482422,141.2100067138672,141.8000030517578,141.8000030517578,2049200,-2.429,2020-02-25,08,2020,25,Tuesday,-1.3544,2.273866376900806
140.9199981689453,144.5800018310547,140.38999938964844,140.49000549316406,140.49000549316406,1502900,-0.924,2020-02-26,08,2020,26,Wednesday,-1.3544,2.273866376900806
137.00999450683594,140.17999267578125,134.5,134.50999450683594,134.50999450683594,1826300,-4.257,2020-02-27,08,2020,27,Thursday,-1.3544,2.273866376900806
131.05999755859375,137.5500030517578,129.63999938964844,137.1199951171875,137.1199951171875,1909400,1.94,2020-02-28,08,2020,28,Friday,-1.3544,2.273866376900806
137.97999572753906,139.7899932861328,134.61000061035156,139.33999633789062,139.33999633789062,1001700,1.619,2020-03-02,09,2020,2,Monday,1.1785999999999999,2.9930213497400913
139.42999267578125,142.3300018310547,136.08999633789062,137.16000366210938,137.16000366210938,964900,-1.565,2020-03-03,09,2020,3,Tuesday,1.1785999999999999,2.9930213497400913
139.0,144.3300018310547,137.22999572753906,144.25,144.25,1336000,5.169,2020-03-04,09,2020,4,Wednesday,1.1785999999999999,2.9930213497400913
141.74000549316406,149.35000610351562,140.27000427246094,148.0800018310547,148.0800018310547,1501600,2.655,2020-03-05,09,2020,5,Thursday,1.1785999999999999,2.9930213497400913
145.25,146.99000549316406,141.57000732421875,145.13999938964844,145.13999938964844,1311500,-1.985,2020-03-06,09,2020,6,Friday,1.1785999999999999,2.9930213497400913
136.92999267578125,145.6699981689453,134.0,139.77999877929688,139.77999877929688,1361700,-3.693,2020-03-09,10,2020,9,Monday,-1.8744,4.191016797866599
141.75999450683594,142.72000122070312,133.19000244140625,141.89999389648438,141.89999389648438,1359000,1.517,2020-03-10,10,2020,10,Tuesday,-1.8744,4.191016797866599
139.0800018310547,140.80999755859375,133.47500610351562,135.05999755859375,135.05999755859375,905500,-4.82,2020-03-11,10,2020,11,Wednesday,-1.8744,4.191016797866599
125.43000030517578,129.8800048828125,116.48200225830078,126.98999786376953,126.98999786376953,1836600,-5.975,2020-03-12,10,2020,12,Thursday,-1.8744,4.191016797866599
133.00999450683594,133.00999450683594,121.01000213623047,131.55999755859375,131.55999755859375,1439600,3.599,2020-03-13,10,2020,13,Friday,-1.8744,4.191016797866599
118.52999877929688,123.88999938964844,109.18000030517578,117.63999938964844,117.63999938964844,1736000,-10.581,2020-03-16,11,2020,16,Monday,-0.9454,6.49150420164695
118.30999755859375,119.83999633789062,111.1500015258789,118.87000274658203,118.87000274658203,2493000,1.046,2020-03-17,11,2020,17,Tuesday,-0.9454,6.49150420164695
111.0,122.61000061035156,110.97000122070312,121.23999786376953,121.23999786376953,1991000,1.994,2020-03-18,11,2020,18,Wednesday,-0.9454,6.49150420164695
119.83000183105469,140.36000061035156,117.73999786376953,129.1300048828125,129.1300048828125,2504100,6.508,2020-03-19,11,2020,19,Thursday,-0.9454,6.49150420164695
129.38999938964844,129.69000244140625,119.0,124.36000061035156,124.36000061035156,3669100,-3.694,2020-03-20,11,2020,20,Friday,-0.9454,6.49150420164695
123.41000366210938,123.41000366210938,113.58000183105469,118.18000030517578,118.18000030517578,2209200,-4.969,2020-03-23,12,2020,23,Monday,-0.1459999999999999,6.180760875490979
125.0,133.9499969482422,123.11799621582031,129.69000244140625,129.69000244140625,2680900,9.739,2020-03-24,12,2020,24,Tuesday,-0.1459999999999999,6.180760875490979
130.0399932861328,131.5,122.31999969482422,124.2300033569336,124.2300033569336,1994700,-4.21,2020-03-25,12,2020,25,Wednesday,-0.1459999999999999,6.180760875490979
124.08999633789062,127.98999786376953,122.6050033569336,126.80999755859375,126.80999755859375,1125600,2.077,2020-03-26,12,2020,26,Thursday,-0.1459999999999999,6.180760875490979
122.4800033569336,126.37999725341797,121.5,122.54000091552734,122.54000091552734,1094200,-3.367,2020-03-27,12,2020,27,Friday,-0.1459999999999999,6.180760875490979
124.4000015258789,126.98400115966797,120.02999877929688,121.43000030517578,121.43000030517578,1356600,-0.906,2020-03-30,13,2020,30,Monday,-0.0678,0.47647371386048154
122.0,125.9000015258789,120.01000213623047,121.44000244140625,121.44000244140625,1763600,0.008,2020-03-31,13,2020,31,Tuesday,-0.0678,0.47647371386048154
119.80999755859375,124.47000122070312,116.30000305175781,121.61000061035156,121.61000061035156,1718100,0.14,2020-04-01,13,2020,1,Wednesday,-0.0678,0.47647371386048154
120.69000244140625,125.41000366210938,119.26000213623047,121.91000366210938,121.91000366210938,739500,0.247,2020-04-02,13,2020,2,Thursday,-0.0678,0.47647371386048154
122.0999984741211,123.30000305175781,119.375,122.12000274658203,122.12000274658203,871700,0.172,2020-04-03,13,2020,3,Friday,-0.0678,0.47647371386048154
120.88999938964844,123.47000122070312,116.0,122.5199966430664,122.5199966430664,2315000,0.328,2020-04-06,14,2020,6,Monday,1.9675000000000002,2.870418029950806
125.0999984741211,129.39999389648438,123.552001953125,127.61000061035156,127.61000061035156,1539200,4.154,2020-04-07,14,2020,7,Tuesday,1.9675000000000002,2.870418029950806
127.54000091552734,129.97999572753906,124.06999969482422,126.04000091552734,126.04000091552734,1386400,-1.23,2020-04-08,14,2020,8,Wednesday,1.9675000000000002,2.870418029950806
127.62000274658203,134.75799560546875,126.5,131.86000061035156,131.86000061035156,1226200,4.618,2020-04-09,14,2020,9,Thursday,1.9675000000000002,2.870418029950806
131.77000427246094,132.36000061035156,128.02999877929688,129.8300018310547,129.8300018310547,1067700,-1.54,2020-04-13,15,2020,13,Monday,1.4932000000000003,2.2825822438632963
132.0500030517578,137.3300018310547,130.55999755859375,135.92999267578125,135.92999267578125,1536400,4.698,2020-04-14,15,2020,14,Tuesday,1.4932000000000003,2.2825822438632963
134.1699981689453,141.6300048828125,133.3699951171875,138.77999877929688,138.77999877929688,1747100,2.097,2020-04-15,15,2020,15,Wednesday,1.4932000000000003,2.2825822438632963
